trade_id,entry_time,exit_time,side,entry_price,exit_price,total_pnl_r,total_pnl_usd,exit_model
b9e1d107-3c29-4034-9cdc-ec699e90a2f8,2024-03-29 10:45:00,2024-03-29 13:15:00,SHORT,70421.79107334815,70205.52327379269,0.7995735646860077,134.90343239360817,Trailing stop hit
cbc1a234-e73c-4c22-93f9-50cce9d7ec9d,2024-05-12 14:45:00,2024-05-12 14:45:00,SHORT,60762.11912128145,60645.69275972493,0.6637218256263393,79.4154551327512,Trailing stop hit
32d4f863-0f87-47ed-9315-22eb101cd61d,2024-07-06 17:15:00,2024-07-06 21:00:00,LONG,56783.6354805535,56985.399897158495,0.7538776853790865,135.33323255245182,Trailing stop hit
bc2e5313-2021-4a6c-897f-6f3af710ff1d,2024-07-27 14:15:00,2024-07-27 15:15:00,LONG,68174.92076266735,68000.01,-1.0,-347.3174325339064,Stop loss hit
a291329d-24aa-4469-99a2-c2c6db857604,2024-08-14 10:45:00,2024-08-14 11:00:00,LONG,61146.26396314104,60924.19,-1.0,-318.71047163553067,Stop loss hit
34dcc8e0-af34-43ea-94cc-3d66b853b1cf,2024-09-29 04:15:00,2024-09-29 05:00:00,SHORT,65570.46460607328,65748.67,-1.0,-342.1122052708998,Stop loss hit
94b874a5-3ad2-4d44-88c4-b9c8e0971167,2024-10-05 20:15:00,2024-10-05 20:15:00,LONG,62353.545778921354,62237.38,-1.0,-384.0658657564659,Stop loss hit
61a306de-ee4d-4a9e-854a-a13ba85a8cf5,2024-10-12 17:15:00,2024-10-12 18:30:00,LONG,62944.87564292478,63068.644930668255,0.5871251168909078,72.05989200957973,Trailing stop hit
038c3af9-687d-47d7-a3ce-a4102d2ff3c7,2024-10-19 10:30:00,2024-10-19 10:30:00,LONG,68541.95926865957,68720.7373284465,1.6215804599935912,249.76744251360836,Trailing stop hit
a6dec480-16f2-4803-9b2a-99b32858db7d,2024-10-23 14:15:00,2024-10-23 16:30:00,SHORT,66849.33732519875,66516.51,1.0865962088470291,217.22337366857525,Trailing stop hit
a7c34f69-e542-411a-9224-e4ba01c18b3a,2024-11-09 13:00:00,2024-11-09 13:15:00,LONG,76612.61770131292,76816.8487407007,1.0450999986983627,163.13300344600677,Trailing stop hit
0b994d47-cf10-4a8c-8550-542294b66e11,2024-11-30 17:45:00,2024-11-30 23:45:00,SHORT,96413.37405907642,96806.2,-1.0,-311.48383861971814,Stop loss hit
3b148136-7e96-4c7e-b70c-aa51d12d7c55,2024-12-21 13:00:00,2024-12-21 19:30:00,LONG,98653.11162635587,97487.52,-1.0,-271.03445014438444,Stop loss hit
255e2553-3615-413a-b8e4-93b9060c5902,2024-12-24 14:15:00,2024-12-24 15:00:00,SHORT,93780.29847459674,94211.99,-1.0,-304.43478659298023,Stop loss hit
accbb345-6a93-4885-b1cd-499b43b2bdfe,2025-01-01 16:00:00,2025-01-01 16:30:00,SHORT,93252.67992481265,93016.57766919212,0.821710903275899,124.39319720560668,Trailing stop hit
bf57c3ea-f972-48fe-bf71-3075ddcdf115,2025-01-15 07:30:00,2025-01-15 14:30:00,LONG,97196.87971199388,97209.97,0.01794985831830195,-28.834714875209183,Time stop: 30 bars without 0.80R
fd8816cb-8c66-4f9a-8e9f-e7807ca403be,2025-01-19 06:30:00,2025-01-19 06:30:00,LONG,104360.4367535243,104783.03935925289,2.2682306902154385,426.7409646269592,Trailing stop hit
d9d9811a-64a1-4035-93f6-225814c501e8,2025-02-11 07:30:00,2025-02-11 12:00:00,LONG,97800.79803554517,98103.43910190016,0.8202365440893438,138.69016287809455,Trailing stop hit
