trade_id,entry_time,exit_time,side,entry_price,exit_price,total_pnl_r,total_pnl_usd,exit_model
57c871a7-6f0b-4313-8e72-9d165e3fd77c,2024-04-15 13:15:00,2024-04-15 18:45:00,LONG,153.16164825066323,151.12,-0.5700303624972595,-153.12706059160985,Zone floor breached
83928443-26ea-4573-a8f8-610a533ee050,2024-04-17 12:00:00,2024-04-17 17:00:00,LONG,141.5689762005233,137.75,-1.0,-259.1424691309365,Stop loss hit
c4f34517-41be-4fee-a84a-978d9ce59fab,2024-05-23 17:00:00,2024-05-23 18:15:00,SHORT,176.10079423108184,174.69,0.8821843057983646,193.12693494127365,Trailing stop hit
c41abf79-b3d8-4aa8-8b7f-00c99e92857f,2024-06-06 08:45:00,2024-06-06 08:45:00,LONG,173.813516622619,174.51901530118928,1.9407604347977467,365.4113591699808,Trailing stop hit
d9f3d49b-66f2-4439-8528-aaaff528fdfc,2024-06-09 20:00:00,2024-06-10 03:00:00,LONG,161.20820457731818,161.63,0.2257758212365161,34.843122048087295,Time stop: 30 bars without 0.80R
27b08655-3b2c-4bd9-bb42-c2efb7cd39b8,2024-06-23 06:45:00,2024-06-23 07:15:00,SHORT,133.33609846465382,134.16,-1.0,-290.5837480252199,Stop loss hit
4417c591-73e6-4a3c-bd64-62b37229ccf9,2024-08-14 17:30:00,2024-08-14 18:15:00,LONG,147.5427970969869,146.38,-1.0,-281.5965267993241,Stop loss hit
2dfc1522-14bf-4b21-a4eb-f87469211613,2024-08-21 13:15:00,2024-08-21 14:45:00,LONG,143.41010271867006,142.81,-1.0,-309.6189814289178,Stop loss hit
bb6628af-60e1-44d1-bc20-28afa31e0bc0,2024-08-23 07:30:00,2024-08-23 09:30:00,LONG,144.4982090709173,145.04448119843659,0.4341664196722112,79.77624539216534,Trailing stop hit
8aa62c34-3faa-492e-a980-ceab3350b450,2024-10-05 10:15:00,2024-10-05 12:45:00,SHORT,142.03168835992798,143.41,-1.0,-275.88689669857735,Stop loss hit
c7a13281-95af-49ce-87d2-e136e2861774,2024-12-16 04:30:00,2024-12-16 06:00:00,SHORT,217.3537752570353,220.54,-1.0,-267.1791779685316,Stop loss hit
a2987126-e07e-4aa3-b8c0-2d76924438ba,2024-12-21 13:15:00,2024-12-21 13:15:00,LONG,199.896909935822,197.14,-1.0,-268.0018988277831,Stop loss hit
e5852cf7-c932-4eca-8999-1285937a5963,2025-01-14 12:15:00,2025-01-14 12:45:00,LONG,186.44526883453912,184.88,-1.0,-279.6534739465277,Stop loss hit
ab583390-9073-4b26-bcd8-58364020d048,2025-01-22 19:00:00,2025-01-22 20:15:00,LONG,257.86037736787296,260.57169840406203,1.457403795063902,329.51715074703674,Trailing stop hit
