trade_id,entry_time,exit_time,side,entry_price,exit_price,total_pnl_r,total_pnl_usd,exit_model
1dc8c46b-3c39-4b8c-8ebd-d4de3575bd6c,2024-03-04 14:30:00,2024-03-04 16:00:00,LONG,416.73536304280407,419.6,2.2435799054869645,479.0178815248044,Trailing stop hit
0677231c-8839-4349-ba79-caa27ced4459,2024-03-08 19:15:00,2024-03-08 20:30:00,LONG,474.8815097890571,484.8,2.622891586753264,624.0000676027553,Trailing stop hit
929938fc-83b1-46c0-a301-e3b3786c77af,2024-03-10 03:45:00,2024-03-10 05:15:00,LONG,487.0824565021851,489.55615156773786,1.3878010837965888,278.46061868605733,Trailing stop hit
6e65fb5e-86f3-4e9a-b06f-a876884106ed,2024-03-10 11:30:00,2024-03-10 12:30:00,LONG,491.868269842807,493.91636512701706,0.7398466914386236,140.44900380341937,Trailing stop hit
b9fdaa20-d5dd-4ece-92de-88c158b1d1a7,2024-03-18 06:45:00,2024-03-18 08:15:00,SHORT,567.5037093854445,558.2,1.4776492946396955,347.0637739681599,Trailing stop hit
51395ac5-2b42-4cb9-9edc-b3a946cbb4fe,2024-03-18 20:30:00,2024-03-18 22:00:00,SHORT,558.6999135371352,552.6973196511927,0.5311989342443246,120.50561044927255,Trailing stop hit
281c17d1-49c7-4053-8d90-a28f9fcca373,2024-03-20 19:30:00,2024-03-20 20:15:00,LONG,537.3030254018546,530.4,-1.0,-269.3339688623159,Stop loss hit
0f4a158c-8086-4ccb-9023-3d5b3bd17cb3,2024-03-20 22:45:00,2024-03-20 23:30:00,SHORT,517.1015074344436,511.14673046775386,0.7352944907322683,167.9526406827341,Trailing stop hit
ec94fd0e-a2bb-415f-bc10-4840d381dd59,2024-03-21 17:15:00,2024-03-22 00:15:00,LONG,565.2798909433852,559.2,-0.46130055017159505,-125.98986815195344,Time stop: 30 bars without 0.80R
5546abeb-5fc2-4a47-8f0b-059860f42747,2024-03-22 01:30:00,2024-03-22 01:45:00,SHORT,550.1083024937731,544.357377306964,1.086782677967073,245.84230016857776,Trailing stop hit
a22f27c3-55bb-461e-97fe-f503fd907281,2024-03-22 08:00:00,2024-03-22 11:30:00,LONG,564.0575959612646,576.7,1.2324919100417382,294.22160139524794,Trailing stop hit
3402ef81-9f6e-4e24-bb52-02cb3a9cf9e6,2024-03-23 16:45:00,2024-03-23 16:45:00,SHORT,552.2477962170232,555.9,-1.0,-287.92736735358847,Stop loss hit
0a0380ac-d8eb-4cc0-a3dc-0da51b51479a,2024-03-24 06:45:00,2024-03-24 07:00:00,SHORT,554.9128371798944,552.2979525767264,0.82044274194982,161.68606097611863,Trailing stop hit
578381e0-cf95-4234-8230-3497b496ca15,2024-03-26 14:45:00,2024-03-26 14:45:00,LONG,596.981029441662,594.1,-1.0,-301.67775328054955,Stop loss hit
b8b5f914-9d92-44a7-90ee-565845a98379,2024-03-30 15:15:00,2024-03-30 17:30:00,SHORT,599.705373094476,603.5,-1.0,-289.63516714063906,Stop loss hit
d8925001-413c-43be-883a-5ee87d629637,2024-03-31 22:30:00,2024-04-01 01:00:00,SHORT,602.7508835304849,603.9,-1.0,-381.258549018061,Stop loss hit
